book,chapter,verse,huggingface_image_link,current_text,corrected_text,uncertainty_count,uncertainties,images
acts,13,50,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000162.png,וְהַיְּהוּדִים הֵסִיתוּ אֶת־נָשִׁים יִרְאוֹת יְהוָֹה שְׁווֹת נִכְבָּדוֹת וְרָאשֵׁי הָעִיר וַתַּחֲלַלְנָה רְדֵף מַתְעֶה וְרִדְפָה עַל־פַּוְלוֹס וּבַרְנָא וַיַּשְׁלִיכוּם מִגְּבוּלוֹתָם,וְהַיְּהוּדִים הֵסִיתוּ אֶת־נָשִׁי יִרְאוֹת יְהוָֹה שְׁווֹת נִכְבָּדוֹת וְרָאשֵׁי הָעִיר וַתַּחֲלַלְנָה רסן מַתְעֶה וְרִדְפָה עַל־פַּוְלוֹס וּבַרְנָבא וַיַּשְׁלִיכוּם מִגְּבוּלוֹתָם,2,רְדֵף | מַתְעֶה,000162.png
acts,14,12,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000168.png,וַיִּקְרְאוּ הַבַּעַל אֲשֶׁר הוּא בְחֹזֶק לְעָרִים הַקָּדִים שְׁבֹורִים וְכַתְהוֹנָן אֶל הַשְּׁלִיחִים אֶת־הַפְּעָם וְאַהֲבָה לוֹבֵחַ,וכמר הַבַּעַל אֲשֶׁר הוּא מחוץ לעירם הקריב שורים וכתרות אֶל־השערים אֶת־הַעָם ואבה לזבוח,2,verse 12: בְחֹזֶק - kamatz vs patach under zayin uncertain | verse 12: הַקָּדִים - dagesh in dalet faint,000168.png
acts,14,13,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000168.png,וְכַאֲשֶׁר שָׁמַע הַשְּׁלִיחִים בַּרְנַבָא וּבְלוֹלִם יִקְרְעוּ אֶת בְּגֹדֵיהֶם וַיָּנִיקוּ בָּעָם וַיִּצְעָקוּ,וְכַאֲשֶׁר שָׁמַע הַשְּׁלִיחִים בַּרְנַבָא ופולוס ויִקְרְעוּ אֶת־בְּגֹדֵותם ויונקו בָּעָם וַיִּצְעָקוּ,1,verse 13: בְלוֹלִם - vocalization of lamed uncertain,000168.png
acts,14,14,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000168.png,לֵאמֹר הָאֲנָשִׁים מָה הַפֶּעַל אֲשֶׁר אַתֶּם עֹשִׂים גַּם אֲנַחְנוּ אֲנָשִׁים נִבְרָדִים הֵם כְּמוֹכֶם אֲנָשִׁים אֲנָשִׁים וּמִתְפַּלְלִים אֲלֵיכֶם לְהָשִׁיב אֶל אֱלֹהִים חַי אֲשֶׁר בָּרָא אֶת־הַשָּׁמַיִם וְאֶת־הָאָרֶץ וְאֶת־הַיָּם וְאֵת כָּל־אֲשֶׁר בָּם,לֵאמֹר הָאֲנָשִׁים מָה תעשו את־הדברים האלה ואֲנַחְנוּ כמוכם אֲנָשִׁים אנושים ומתים היינו מבשרים אתכם לְהָשִׁיב מאלילים האלה אֶל־אלהי חַי אֲשֶׁר בָּרָא אֶת־הַשָּׁמַיִם וְאֶת־הָאָרֶץ וְאֶת־הַיָּם וְכָל־אֲשֶׁר בָּם,2,verse 14: נִבְרָדִים - initial nun vocalization unclear | verse 14: multiple instances of אֲנָשִׁים - hataf-patach vs sheva distinction,000168.png
acts,14,15,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000168.png,אֲשֶׁר בְּדֹרוֹת נֵעֲשׁוֹתָה הָנִית כָּל־הַגּוֹים לָלֶכֶת בְּדַרְכֵיהֶם,אֲשֶׁר בְּדֹורוֹת הראשונות הניח כָּל־הַגּוֹים לָלֶכֶת בְּדַרְכֵיהֶם,1,verse 15: נֵעֲשׁוֹתָה - segol vs tsere under ayin,000168.png
acts,14,16,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000168.png,אַף כִּי גַם הוּא מֵעוֹלָם לֹא הֵנִיחַ לָהֶם עֵדוּת מִטִּיב בַּשָּׁמַיִם נֹתֵר וּמַטְהִיר נֹתֵן פְּרִי וְהָאָרֶץ מַשְׂבִּיעַ אֲבָל נִשְׂמַחֲנוּ אֶת־לְבוֹתֵינוּ,אַף כִּי גַם על־־נפשו עזב לָהֶם עֵדוּת מִטִּיב בַּשָּׁמַיִם נותן לנו בעתו גשמי־ברכה ונֹתֵן עץ השדה את פְּרִיו וְהָאָרֶץ תתן יבולה ומַשְׂבִּיעַ אכל ושמחה אֶת־לְבוֹתֵינוּ,2,verse 16: מִטִּיב - dagesh in tet very faint | verse 16: נִשְׂמַחֲנוּ - sin vs shin dot position,000168.png
acts,14,18,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000170.png,וּבְהֵאָרִיכָם וּבְלַמְּדָם שָׁם בָּאֲנְטִיֹּכְיָאוּמֵאִיקֹנוּן וַיִּסְתּוּ אֶת־הָעָם וַיִּרְגְּמוּ אֶת־פַּוְלוּס וַיִּמְשְׁכוּהוּ אֶל־מִחוּץ לָעִיר וּמִתְחַשְּׁבִים כִּי מֵת הוּא,וּבְהֵאָרִיכָם וּבְלַמְּדָם שָׁם באו יהודים מאֲנְטִיֹּכְיָאוּמֵאִיקֹנוּן וַיִּפתּוּ אֶת־הָעָם וַיִּרְגְּמוּ אֶת־פַּוְלוּס וַיִּמְשְׁכוּהוּ אֶל־מִחוּץ לָעִיר וּמִתְחַשְּׁבִים כִּי מֵת הוּא,1,בָּאֲנְטִיֹּכְיָאוּמֵאִיקֹנוּן - possible word boundary unclear,000170.png
acts,15,29,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000182.png,מֵהִצָּרוֹת לְעֵגֶל מִפְּכְרֶן גֶּמְצַתְכֶן וְכָל אֲשֶׁר לֹא הָאֲכֹל לַעֲשׂוֹת לְעַצְמְכֶם לְהַצּוֹרִים וּמֵדָּם אִם תִּצְרוּ־בוֹךְ תּוּקֶה יַאֲמִין לַכֶּם לִקְיָ אֶת־יְהוָה,לנצר מזבחי האלילים ומדם ומנחנק ומתונות וְכָל אֲשֶׁר לֹא תאבו להעשות לנפשכם לאחרים לא תעשו ומאלה אִם תִּצְרוּ נפשכם תיטיבון חזקו ויאמץ לבכם וקוו אֶל־יְהוָה,1,verse_29_highly_uncertain_many_characters_unclear,000182.png
acts,15,30,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000182.png,כַּאֲשֶׁר נִשְׁלְחוּ אֵלֶיהָ לָהֶם לַאֲנִיטוֹכְיָא נִקְרִילוּ אֶת־הֶחֲמוֹן וַיִּתְּנוּ לָהֶם אֶת־הָאִגֶּרֶת,וכַּאֲשֶׁר נִשְׁלְחוּ באו לָהֶם לַאֲנִיטוֹכְיָא ויקהילו אֶת־הֶהמוֹן וַיִּתְּנוּ לָהֶם אֶת־אִגֶּרֶת,1,verse_30_several_words_uncertain,000182.png
acts,15,32,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000182.png,וִיהוּדָה נֵשְׁלָא הָיוּ בְנָבִיאִים גַּם־הֵמָּה לֵכָּה בְּדֶבֶר נָחֲמוּ חוֹזֶק וַאֲמַצּוּ אֶת־הָאַחִים,וִיהוּדָה ושְׁילָא הָיוּ נָבִיאִים גַּם־הֵמָּה לכך בְּדֶבֶר רב נָחֲמוּ חזקו וַאֲמַצּוּ אֶת־הָאַחִים,1,verse_32_some_words_unclear,000182.png
acts,15,39,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000184.png,וַיְהִי־רִיב בֵּינֵיהֶם כֹּל אֲשֶׁר נִפְרַד אִישׁ מֵרֵעֵהוּ וּבַרְנַבָא לָקַח אֶת־מַרְקוֹס וַיֵּלֶךְ כִּפְרָה,וַיְהִי־רִיב בֵּינֵיהֶם כן אֲשֶׁר נִפְרַד אִישׁ מֵרֵעֵהוּ וּבַרְנַבָא לָקַח אליו אֶת־מַרְקוֹס וַיֵּלֶךְ כִּפְרָה,1,כִּפְרָה,000184.png
acts,16,11,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000188.png,וּכְאֲשֶׁר הָלַכְנוּ מִן טְרוֹאוֹס בִּמְרוּכוּ יָשַׁר בָּאנוּ בְּסַמוֹתְרַאקְיָא וּבַיּוֹם מַחֲר לְעַיד נְאָפּוֹלִים,וּכְאֲשֶׁר הָלַכְנוּ מִן טְרוֹאוֹס במרוץ יָשַׁר בָּאנוּ בְּסַמוֹתְרַאקְיָ וּבַיּוֹם מַחֲר לְעַיר נְאָפּוֹלִים,1,מַחֲר - the vowel under ח requires verification,000188.png
acts,16,29,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000196.png,וַיִּקָּבֵץ לְפָנֶיהֶם נִגְלֶה וּגְבֵרְעֵדָה גְדוֹלָה נָפַל אֶל נְגִלֵי פַּולוֹס יִשָּׁלֵא,ויבער לפידים וידלג וּבֵרְעֵדָה גְדוֹלָה נָפַל אֶל־רגִלֵי פַּולוֹס ושילא,3,"verse 29: word 'נִגְלֶה' - unusual form, visual unclear if Gimel or another letter | verse 29: word 'גְבֵרְעֵדָה' - complex vocalization, uncertain of all vowel marks | verse 29: final word 'יִשָּׁלֵא' - uncertain if final letter is Aleph or He",000196.png
acts,16,30,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000196.png,וַיֹּאמֶר חֲוִיצָה וַיֹּאמַר אֲדֹנִי הוּא עַרְכִי לַעֲשׂוֹת אֲשֶׁר אֵשָּׁט,ויוצאם החוצה וַיֹּאמַר אֲדֹונִי מה צרכי לַעֲשׂוֹת אֲשֶׁר אושע,2,"verse 30: word 'חֲוִיצָה' - unusual form, uncertain vocalization | verse 30: word 'עַרְכִי' - unclear if Kaf or Khaf",000196.png
acts,16,31,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000196.png,וַיָּבֵא אָמְרוּ הֶאֱמִין בִּישׁוּעַ הַשָּׂרָה וְתִשָּׁעַ אַתָּה וְכָל בֵּיתָךְ,והמה אָמְרוּ האמן בִּישׁוּעַ המשיח ותושע אַתָּ וְכָל בֵּיתָךְ,1,verse 31: word 'הַשָּׂרָה' - uncertain if Sin or Shin,000196.png
acts,16,33,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000196.png,וַיִּקָּחֵם בְּאוֹתָהּ שָׁעָה הַלַּיְלָה יִרְחַץ אֶת־מַכּוֹתֵיהֶם וַיִּטְבַּל הוּא וְכָל בֵּיתוֹ בַּבָּעַ,וַיִּקָּחֵם בְּאוֹתָהּ שעת הַלַּיְלָה ויִרְחַץ אֶת־נגעיהם וַיִּטְבַּל הוּא וְכָל בֵּיתוֹ ברגע,1,"verse 33: word 'בַּבָּעַ' - uncertain final letter, possibly Ayin",000196.png
acts,16,34,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000196.png,וַיְבִאֵם לְבֵיתוֹ וַיָּשֶׂם אֶת־הַשֻּׁלְחָן נְגִדָּם כָּל־בֵּיתוֹ מַאֲמִינִים בֵּיהוָֹה,וַיְבִיאֵם לְבֵיתוֹ וַיָּשֶׂם אֶת־הַשֻּׁלְחָן ויגל עם כָּל־בֵּיתוֹ מַאֲמִין בֵּיהוָֹה,1,verse 34: word 'נְגִדָּם' - dagesh placement uncertain,000196.png
acts,17,2,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000200.png,וְיִהִי אֵלָיו בְּהֵעָזְרוֹ וּבְלִימֵי שְׁלשָׁהּ שָׁבֻעִים יְכַבֵּד אֱלהִים בִּכְתָבִים,ופולוס בא אליהם כתעודתו ובשלושת שבתות ידבר אליהם מכְתָבִים,2,"Verse 2: Fourth word 'בְּהֵעָזְרוֹ' - unusual form, possibly בְּהֵעָדְרוֹ or similar variant | Verse 2: Sixth word 'שְׁלשָׁהּ' - final He with Mappiq visible but faint",000200.png
acts,17,3,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000200.png,וּכַעֲשׂוֹת צִדֵּק הַמִשְׁנֶה לַעֲנוֹת וְלָקוּם מִמָּתִים וּכִי זֶה הוּא אֲשֶׁר אֲנִי מַגִּיד לָהֶם,פותח ומוכיח כי צרך המשיח לַעֲנוֹת וְלָקוּם מִמָּתִים וּכִי זֶה המשיח ישוע הוּא אֲשֶׁר אֲנִי מַגִּיד לָהֶם,2,Verse 3: Second word 'צִדֵּק' - Dagesh in Dalet visible | Verse 3: Third word 'הַמִשְׁנֶה' - Shin with right dot clearly visible,000200.png
acts,17,4,https://huggingface.co/datasets/jhonnyisaacc/hutter/resolve/main/hebrew/acts/000200.png,וּמִקְצָתָם הֶאֱמִינוּ וְנִדְבָּקוּ בְּפוֹלוֹס וּשׁילַס וּבֵינֵיהֶם יְדַעֵי אֱלֹהִים הָמוֹן רַב וּבְנָשִׁים רֹאשׁוֹנוֹת לֹא מְעָשְׁוֹת,וּמִקְצָתָם הֶאֱמִינוּ וְדְבָקוּ בְּפוֹלוֹס וּשׁילַא ומיונים יראי אֱלֹהִים הָמוֹן רַב וּמנָשִׁים רֹאשׁוֹנוֹת לֹא מעטוה,2,"Verse 4: Sixth word 'וּשׁילַס' - appears to be 'Silas' without final Samekh | Verse 4: Last word 'מְעָשְׁוֹת' - unusual form, possibly מְעַטּוֹת",000200.png
